name,category,address,phone,website,rating,review_count,place_id,lat,lng
"George & Dragon, Beaumaris",eat-and-drink,"Church St, Beaumaris LL58 8AA, UK",01248 810491,https://www.robinsonsbrewery.com/pubs/george-dragon-beaumaris/,4.4,706,ChIJs76N-BoBZUgRf8Cq7EcOr1c,53.263229,-4.09258
Plas Cadnant Hidden Gardens,activities,"Cadnant Rd, Menai Bridge LL59 5NH, UK",01248 717174,http://www.plascadnant.co.uk/,4.8,1294,ChIJN95pZAOqZUgRki52eTpgUS0,53.236621,-4.165236
Paddlers Return,eat-and-drink,"Porthdafarch Rd, Holyhead LL65 2LP, UK",01407 769351,http://www.paddlersreturn.co.uk/,4.5,105,ChIJd5hsz9bKZUgRAQY-4rCT8M0,53.293168,-4.645287
Seacoast Safaris,activities,"Seacoast Ticket, Pier House, Beaumaris LL58 8BS, UK",07854 028393,https://www.seacoastsafaris.co.uk/,4.8,1014,ChIJwVMQbRoBZUgRkNqHLMAaZIA,53.262707,-4.091332
Oriel Beaumaris,shops,"20a Church St, Beaumaris LL58 8AB, UK",07896 269958,http://www.ian-walton.com/,4.9,40,ChIJCzBjp4ABZUgRb0K0vxFL46w,53.263894,-4.093353
Anglesey Sea Zoo Marine Conservation Centre,activities,"Brynsiencyn, Llanfairpwll LL61 6TQ, UK",01248 430411,http://www.angleseyseazoo.co.uk/,4.1,3468,ChIJNRNTTxWvZUgRkyOZ_mQ9SXs,53.163814,-4.278964
Anglesey Boat Trips,activities,"Pier, Beaumaris LL58 8BS, UK",01248 716335,http://angleseyboattrips.com/,4.9,173,ChIJOcnkGKUBZUgR9duS_zrDpTE,53.262375,-4.091302
Anglesey Transport Museum and Cafe - Tacla Taid,activities,"The Anglesey Transport Museum, Tyddyn Pwrpas, Niwbwrch, Llanfairpwllgwyngyll LL61 6TN, UK",01248 440344,http://www.angleseytransportmuseum.co.uk/,4.6,1827,ChIJwXn3SdCvZUgRoItBBFCTS8A,53.173783,-4.347464
Newborough National Nature Reserve and Forest,activities,"Llanfairpwllgwyngyll LL61 6SG, UK",,https://naturalresources.wales/days-out/places-to-visit/north-west-wales/newborough/?lang=en,4.8,2786,ChIJ31a_cnOwZUgRBPP7HOO2hsY,53.144132,-4.385229
Janet Bell Gallery & Lifestyle Store,shops,"11 Church St, Beaumaris LL58 8AB, UK",01248 810043,http://www.janetbell.co.uk/,4.9,66,ChIJMzD7ZBoBZUgR49idiF3PTuo,53.263623,-4.093224
Beaumaris Castle,activities,"Castle St, Beaumaris LL58 8AP, UK",0300 025 2239,https://cadw.gov.wales/visit/places-to-visit/beaumaris-castle,4.6,8764,ChIJZY7mehABZUgR0Lo3lSoLbEc,53.264835,-4.089699
RibRide,activities,"Porth Daniel, Water St, Menai Bridge LL59 5DE, UK",0333 123 4303,https://www.ribride.co.uk/,4.9,796,ChIJ53nRtvupZUgRHchuMtYIxK8,53.22482,-4.16167
"Four Crosses, Porthaethwy",eat-and-drink,"Pentraeth Rd, Menai Bridge LL59 5RP, UK",01248 712230,https://www.robinsonsbrewery.com/pubs/four-crosses-menai-bridge/,4.3,1521,ChIJd7bCUSCqZUgR1jB-EtCfdHU,53.232076,-4.180035
